"","ID","Module","RepeatInSess","CorrectDiag","SelectedDiag","Correct","respRT","Confidence","Session","DataSet","Expertise"
"1",1234,1,1,33,33,1,2513,5,1,2,2
"2",1234,1,1,42,42,1,5735,5,1,2,2
"3",1234,1,1,32,32,1,2914,5,1,2,2
"4",1234,1,1,27,27,1,3768,5,1,2,2
"5",1234,1,1,14,14,1,2833,5,1,2,2
"6",1234,1,1,19,19,1,4261,5,1,2,2
"7",1234,1,1,4,4,1,3715,5,1,2,2
"8",1234,1,1,18,17,0,8952,5,1,2,2
"9",1234,1,1,7,7,1,5702,5,1,2,2
"10",1234,1,1,47,15,0,10266,5,1,2,2
"11",1234,1,1,20,20,1,8324,5,1,2,2
"12",1234,1,1,34,34,1,3481,5,1,2,2
"13",1234,1,1,38,38,1,11780,5,1,2,2
"14",1234,1,1,40,40,1,2943,5,1,2,2
"15",1234,1,1,9,9,1,6228,5,1,2,2
"16",1234,1,1,31,30,0,11064,1,1,2,2
"17",1234,1,1,41,41,1,3775,5,1,2,2
"18",1234,1,1,1,1,1,4691,5,1,2,2
"19",1234,1,1,28,28,1,3593,5,1,2,2
"20",1234,1,1,46,46,1,6259,5,1,2,2
"21",1234,1,1,15,15,1,6584,5,1,2,2
"22",1234,1,1,11,11,1,4423,5,1,2,2
"23",1234,1,1,35,35,1,4015,5,1,2,2
"24",1234,1,1,29,29,1,1933,5,1,2,2
"25",1234,1,1,45,45,1,5858,5,1,2,2
"26",1234,1,1,43,43,1,10476,1,1,2,2
"27",1234,1,1,16,16,1,3815,5,1,2,2
"28",1234,1,1,23,23,1,8131,5,1,2,2
"29",1234,1,1,30,30,1,7347,5,1,2,2
"30",1234,1,1,17,17,1,11749,1,1,2,2
"31",1234,1,1,6,6,1,3907,5,1,2,2
"32",1234,1,1,25,25,1,5534,1,1,2,2
"33",1234,1,1,2,23,0,12452,1,1,2,2
"34",1234,1,1,39,39,1,6933,5,1,2,2
"35",1234,1,1,3,3,1,3591,5,1,2,2
"36",1234,1,1,21,21,1,2285,5,1,2,2
"37",1234,1,1,10,39,0,9934,5,1,2,2
"38",1234,1,1,26,26,1,3298,5,1,2,2
"39",1234,1,1,36,36,1,6600,5,1,2,2
"40",1234,1,1,12,12,1,11677,1,1,2,2
"41",1234,1,1,13,15,0,8751,5,1,2,2
"42",1234,1,1,44,44,1,2168,5,1,2,2
"43",1234,1,1,8,8,1,2275,5,1,2,2
"44",1234,1,1,37,25,0,5296,5,1,2,2
"45",1234,1,1,22,22,1,2530,5,1,2,2
"46",1234,1,1,24,32,0,13030,1,1,2,2
"47",1234,1,1,5,5,1,12510,5,1,2,2
"48",6584,1,1,23,46,0,13214,1,1,2,2
"49",6584,1,1,38,24,0,10216,2,1,2,2
"50",6584,1,1,36,36,1,11986,4,1,2,2
"51",6584,1,1,2,38,0,12727,4,1,2,2
"52",6584,1,1,9,9,1,10950,4,1,2,2
"53",6584,1,1,42,24,0,9044,3,1,2,2
"54",6584,1,1,37,23,0,10291,3,1,2,2
"55",6584,1,1,25,2,0,14583,2,1,2,2
"56",6584,1,1,24,35,0,11161,2,1,2,2
"57",6584,1,1,19,19,1,3482,5,1,2,2
"58",6584,1,1,11,11,1,12399,2,1,2,2
"59",6584,1,1,17,15,0,15354,2,1,2,2
"60",6584,1,1,30,30,1,6968,4,1,2,2
"61",6584,1,1,46,6,0,11221,2,1,2,2
"62",6584,1,1,13,11,0,9138,3,1,2,2
"63",6584,1,1,8,20,0,12322,2,1,2,2
"64",6584,1,1,26,26,1,10850,5,1,2,2
"65",6584,1,1,22,22,1,7990,4,1,2,2
"66",6584,1,1,20,15,0,15962,1,1,2,2
"67",6584,1,1,45,45,1,6273,4,1,2,2
"68",6584,1,1,33,33,1,3250,5,1,2,2
"69",6584,1,1,14,14,1,4621,5,1,2,2
"70",6584,1,1,27,27,1,8616,5,1,2,2
"71",6584,1,1,6,6,1,6375,4,1,2,2
"72",6584,1,1,12,45,0,7177,1,1,2,2
"73",6584,1,1,43,43,1,6869,5,1,2,2
"74",6584,1,1,15,31,0,10532,2,1,2,2
"75",6584,1,1,31,16,0,14637,1,1,2,2
"76",6584,1,1,18,47,0,12705,1,1,2,2
"77",6584,1,1,1,35,0,4244,5,1,2,2
"78",6584,1,1,35,35,1,7870,4,1,2,2
"79",6584,1,1,29,25,0,5311,1,1,2,2
"80",6584,1,1,7,7,1,4978,5,1,2,2
"81",6584,1,1,16,16,1,5878,5,1,2,2
"82",6584,1,1,40,40,1,4088,5,1,2,2
"83",6584,1,1,3,8,0,11508,1,1,2,2
"84",6584,1,1,44,44,1,9446,5,1,2,2
"85",6584,1,1,41,41,1,9353,2,1,2,2
"86",6584,1,1,28,28,1,7139,5,1,2,2
"87",6584,1,1,10,45,0,11386,2,1,2,2
"88",6584,1,1,5,5,1,6588,4,1,2,2
"89",6584,1,1,21,21,1,5121,5,1,2,2
"90",6584,1,1,39,8,0,12635,3,1,2,2
"91",6584,1,1,34,34,1,9198,5,1,2,2
"92",6584,1,1,47,47,1,5059,5,1,2,2
"93",6584,1,1,4,4,1,3295,5,1,2,2
"94",6584,1,1,32,32,1,6685,5,1,2,2
"95",6584,1,1,46,46,1,4504,5,2,2,2
"96",6584,1,1,9,9,1,2431,5,2,2,2
"97",6584,1,1,36,36,1,3969,5,2,2,2
"98",6584,1,1,20,20,1,3095,5,2,2,2
"99",6584,1,1,7,7,1,4369,5,2,2,2
"100",6584,1,1,2,2,1,9371,4,2,2,2
"101",6584,1,1,35,1,0,12597,3,2,2,2
"102",6584,1,1,23,23,1,11759,3,2,2,2
"103",6584,1,1,47,47,1,2756,5,2,2,2
"104",6584,1,1,8,8,1,2207,5,2,2,2
"105",6584,1,1,12,12,1,3824,5,2,2,2
"106",6584,1,1,18,18,1,2098,5,2,2,2
"107",6584,1,1,6,6,1,3692,5,2,2,2
"108",6584,1,1,1,1,1,2901,5,2,2,2
"109",6584,1,1,24,29,0,4364,5,2,2,2
"110",6584,1,1,30,30,1,3967,5,2,2,2
"111",6584,1,1,4,4,1,2002,5,2,2,2
"112",6584,1,1,37,37,1,4907,4,2,2,2
"113",6584,1,1,45,45,1,1881,5,2,2,2
"114",6584,1,1,3,3,1,3840,5,2,2,2
"115",6584,1,1,26,26,1,7434,5,2,2,2
"116",6584,1,1,27,27,1,5944,5,2,2,2
"117",6584,1,1,31,31,1,2671,5,2,2,2
"118",6584,1,1,42,42,1,3494,5,2,2,2
"119",6584,1,1,11,11,1,3135,5,2,2,2
"120",6584,1,1,39,39,1,3109,5,2,2,2
"121",6584,1,1,21,21,1,1988,5,2,2,2
"122",6584,1,1,40,40,1,11431,4,2,2,2
"123",6584,1,1,28,28,1,2220,5,2,2,2
"124",6584,1,1,17,17,1,2914,5,2,2,2
"125",6584,1,1,19,19,1,4108,5,2,2,2
"126",6584,1,1,5,23,0,7132,3,2,2,2
"127",6584,1,1,38,38,1,3045,5,2,2,2
"128",6584,1,1,14,14,1,1824,5,2,2,2
"129",6584,1,1,22,22,1,1717,5,2,2,2
"130",6584,1,1,33,33,1,3944,5,2,2,2
"131",6584,1,1,10,37,0,7413,4,2,2,2
"132",6584,1,1,25,25,1,3999,4,2,2,2
"133",6584,1,1,44,44,1,10915,5,2,2,2
"134",6584,1,1,16,45,0,11517,5,2,2,2
"135",6584,1,1,29,29,1,16892,1,2,2,2
"136",6584,1,1,13,41,0,5193,3,2,2,2
"137",6584,1,1,41,41,1,2542,5,2,2,2
"138",6584,1,1,15,15,1,6837,4,2,2,2
"139",6584,1,1,34,34,1,2347,5,2,2,2
"140",6584,1,1,43,43,1,8639,4,2,2,2
"141",6584,1,1,32,32,1,3664,5,2,2,2
"142",6584,1,1,1,1,1,3575,5,3,2,2
"143",6584,1,1,43,43,1,16734,3,3,2,2
"144",6584,1,1,17,17,1,4167,5,3,2,2
"145",6584,1,1,29,29,1,6052,5,3,2,2
"146",6584,1,1,35,35,1,2666,5,3,2,2
